ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
BV01_05,Dry,Montoulieu,BV,Belveze,BV01,4.036,50.521,25,3.987,1.342,3.726,1261,0.825,13.681,138.27
AT11_02,Dry,Sourroque,AT,Ates,AT11,3.415,41.543,19,1.176,1.344,3.72,750,0.422,13.803,6.34
SQ16_11,Wet,Sourroque,SQ,Sourroque,SQ16,3.466,51.117,21,1.845,6.99,3.72,927,0.236,23.743,33.158
G04_12,Wet,Grave,G,Grave,G04,3.675,37.975,25,0.867,7.261,3.718,1471,0.075,8.946,3.576
PN07_12,Wet,Axat,PN,Paounias,PN07,2.657,55.194,19,1.453,5.39,3.711,909,0.186,16.179,113.962
ML05_05,Dry,Montoulieu,ML,Montoulieu,ML05,3.173,72.596,23,2.176,1.619,3.706,466,0.126,21.386,82.073
PN10_13,Wet,Axat,PN,Paounias,PN10,3.682,43.858,18,2.153,5.139,3.697,909,0.186,16.179,113.962
AT12_10,Normal,Sourroque,AT,Ates,AT12,3.167,60.406,21,0.234,3.789,3.695,750,0.422,13.803,6.34
G07_08,Normal,Grave,G,Grave,G07,2.172,53.735,19,0.253,2.436,3.695,1471,0.075,8.946,3.576
G07_14,Wet,Grave,G,Grave,G07,3.158,47.56,18,2.388,6.767,3.694,1471,0.075,8.946,3.576
TP14_06,Normal,Sourroque,TP,Toupi,TP14,3.718,59.788,22,1.473,4.336,3.69,1184,0.985,8.623,119.055
G02_11,Wet,Grave,G,Grave,G02,3.342,48.027,16,0.903,7.324,3.687,1471,0.075,8.946,3.576
LC08_12,Wet,Sourroque,LC,Lacourt,LC08,4.083,61.054,19,3.461,10.0471,3.683,489,0.211,6.063,146.31
AT17_11,Wet,Sourroque,AT,Ates,AT17,4.072,55.955,16,2.18,8.692,3.682,750,0.422,13.803,6.34
AT16_12,Wet,Sourroque,AT,Ates,AT16,3.579,53.996,21,1.337,7.619,3.675,750,0.422,13.803,6.34
TP11_10,Normal,Sourroque,TP,Toupi,TP11,4.025,67.601,22,1.649,4.357,3.672,1184,0.985,8.623,119.055
G08_08,Normal,Grave,G,Grave,G08,3.13,52.71,20,0.51,4.638,3.665,1471,0.075,8.946,3.576
LC08_11,Wet,Sourroque,LC,Lacourt,LC08,3.832,64.742,21,3.865,6.822,3.665,489,0.211,6.063,146.31
SX14_15,Wet,Montoulieu,SX,Seignaux,SX14,4.464,57.022,19,2.175,11.475,3.66,840,0.729,23.294,134.076
TC01_12,Wet,Montoulieu,TC,Tournac,TC01,3.173,59.115,20,2.981,6.288,3.658,1021,0.535,25.54,80.538
ML08_13,Wet,Montoulieu,ML,Montoulieu,ML08,3.779,53.759,22,1.863,8.252,3.635,466,0.126,21.386,82.073
AT08_12,Wet,Sourroque,AT,Ates,AT08,3.145,46.119,25,0.935,7.435,3.631,750,0.422,13.803,6.34
TC11_13,Wet,Montoulieu,TC,Tournac,TC11,2.714,54.646,24,1.045,4.685,3.629,1021,0.535,25.54,80.538
ML06_10,Normal,Montoulieu,ML,Montoulieu,ML06,3.495,66.436,20,2.861,3.584,3.627,466,0.126,21.386,82.073
SQ08_13,Wet,Sourroque,SQ,Sourroque,SQ08,2.805,55.426,28,2.616,5.795,3.624,927,0.236,23.743,33.158
SX14_12,Wet,Montoulieu,SX,Seignaux,SX14,3.614,61.537,21,1.717,4.969,3.622,840,0.729,23.294,134.076
PN01_11,Wet,Axat,PN,Paounias,PN01,3.331,54.252,27,0.108,5.255,3.616,909,0.186,16.179,113.962
AT17_06,Normal,Sourroque,AT,Ates,AT17,3.094,62.428,34,2.942,4.984,3.612,750,0.422,13.803,6.34
