ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
G10_07,Normal,Grave,G,Grave,G10,3.847,44.774,18,1.986,3.906,2.816,1471,0.075,8.946,3.576
ML03_07,Normal,Montoulieu,ML,Montoulieu,ML03,2.993,77.504,19,2.186,5.327,2.816,466,0.126,21.386,82.073
SQ02_03,Dry,Sourroque,SQ,Sourroque,SQ02,2.402,53.327,24,0.585,1.067,2.812,927,0.236,23.743,33.158
G06_13,Wet,Grave,G,Grave,G06,3.317,47.555,23,0.761,4.309,2.785,1471,0.075,8.946,3.576
TP13_06,Normal,Sourroque,TP,Toupi,TP13,3.043,66.063,19,1.662,3.598,2.779,1184,0.985,8.623,119.055
AT16_02,Dry,Sourroque,AT,Ates,AT16,3.458,46.768,28,0.513,1.805,2.77,750,0.422,13.803,6.34
ML03_13,Wet,Montoulieu,ML,Montoulieu,ML03,2.794,62.683,26,2.177,5.781,2.768,466,0.126,21.386,82.073
BV15_02,Dry,Montoulieu,BV,Belveze,BV15,3.877,53.038,16,1.521,2.555,2.74,1261,0.825,13.681,138.27
SQ09_02,Dry,Sourroque,SQ,Sourroque,SQ09,4.064,40.541,23,1.519,2.562,2.732,927,0.236,23.743,33.158
AT03_11,Wet,Sourroque,AT,Ates,AT03,4.319,63.721,17,1.17,8.536,2.694,750,0.422,13.803,6.34
AT17_04,Dry,Sourroque,AT,Ates,AT17,3.316,50.737,0,0.489,1.857,2.693,750,0.422,13.803,6.34
LC01_13,Wet,Sourroque,LC,Lacourt,LC01,4.128,51.638,24,0.559,7.45,2.685,489,0.211,6.063,146.31
TP02_08,Normal,Sourroque,TP,Toupi,TP02,3.352,62.825,20,2.653,4.476,2.681,1184,0.985,8.623,119.055
ML05_07,Normal,Montoulieu,ML,Montoulieu,ML05,3.595,79.074,30,2.528,5.261,2.661,466,0.126,21.386,82.073
ML02_14,Wet,Montoulieu,ML,Montoulieu,ML02,2.99,55.336,22,1.913,8.293,2.653,466,0.126,21.386,82.073
G01_14,Wet,Grave,G,Grave,G01,3.846,57.658,22,2.135,8.674,2.652,1471,0.075,8.946,3.576
AT15_02,Dry,Sourroque,AT,Ates,AT15,3.045,43.505,23,0.625,1.516,2.639,750,0.422,13.803,6.34
G10_02,Dry,Grave,G,Grave,G10,3.18,50.075,17,0.287,1.518,2.635,1471,0.075,8.946,3.576
F02_07,Normal,Grave,F,Freaux,F02,2.959,44.703,18,0.834,4.175,2.635,1409,0.194,29.362,9.545
TP14_03,Dry,Sourroque,TP,Toupi,TP14,3.266,44.256,18,0.62,1.139,2.634,1184,0.985,8.623,119.055
TP11_03,Dry,Sourroque,TP,Toupi,TP11,3.224,45.029,17,2.977,1.523,2.626,1184,0.985,8.623,119.055
AT17_03,Dry,Sourroque,AT,Ates,AT17,3.714,45.316,26,1.242,2.668,2.624,750,0.422,13.803,6.34
F10_07,Normal,Grave,F,Freaux,F10,3.429,49.642,23,3.08,3.062,2.613,1409,0.194,29.362,9.545
G03_14,Wet,Grave,G,Grave,G03,3.471,52.028,25,1.155,8.421,2.613,1471,0.075,8.946,3.576
ML13_15,Wet,Montoulieu,ML,Montoulieu,ML13,3.477,53.507,25,0.441,10.359,2.606,466,0.126,21.386,82.073
ML02_08,Normal,Montoulieu,ML,Montoulieu,ML02,3.097,75.939,32,1.043,3.083,2.595,466,0.126,21.386,82.073
SQ07_04,Dry,Sourroque,SQ,Sourroque,SQ07,3.197,36.686,20,1.257,1.163,2.58,927,0.236,23.743,33.158
ML07_02,Dry,Montoulieu,ML,Montoulieu,ML07,2.726,37.158,20,0.853,1.552,2.577,466,0.126,21.386,82.073
G01_04,Dry,Grave,G,Grave,G01,3.377,48.072,18,0.328,1.583,2.527,1471,0.075,8.946,3.576
AT10_09,Normal,Sourroque,AT,Ates,AT10,3.629,60.044,24,1.145,4.772,2.515,750,0.422,13.803,6.34
AT10_02,Dry,Sourroque,AT,Ates,AT10,3.019,47.967,26,0.56,1.599,2.502,750,0.422,13.803,6.34
G03_10,Normal,Grave,G,Grave,G03,2.72,53.07,16,2.224,3.619,2.487,1471,0.075,8.946,3.576
AT08_08,Normal,Sourroque,AT,Ates,AT08,3.28,58.307,21,1.741,3.62,2.486,750,0.422,13.803,6.34
TP13_02,Dry,Sourroque,TP,Toupi,TP13,3.372,46.004,16,0.838,1.207,2.486,1184,0.985,8.623,119.055
AT15_08,Normal,Sourroque,AT,Ates,AT15,2.951,60.89,20,1.939,4.041,2.475,750,0.422,13.803,6.34
AT03_12,Wet,Sourroque,AT,Ates,AT03,4.233,60.448,18,1.194,15.391,2.469,750,0.422,13.803,6.34
G08_14,Wet,Grave,G,Grave,G08,4.053,47.811,23,0.998,14.304,2.447,1471,0.075,8.946,3.576
ML05_11,Wet,Montoulieu,ML,Montoulieu,ML05,3.767,56.948,20,2.896,7.392,2.435,466,0.126,21.386,82.073
AT14_04,Dry,Sourroque,AT,Ates,AT14,2.947,43.891,23,2.172,2.055,2.433,750,0.422,13.803,6.34
ML05_14,Wet,Montoulieu,ML,Montoulieu,ML05,2.812,65.105,20,2.451,5.754,2.433,466,0.126,21.386,82.073
ML07_10,Normal,Montoulieu,ML,Montoulieu,ML07,3.661,94.169,18,2.055,5.758,2.431,466,0.126,21.386,82.073
AT04_03,Dry,Sourroque,AT,Ates,AT04,3.59,45.876,32,1.049,2.058,2.43,750,0.422,13.803,6.34
G01_09,Normal,Grave,G,Grave,G01,4.166,49.408,20,1.748,4.145,2.413,1471,0.075,8.946,3.576
ML02_11,Wet,Montoulieu,ML,Montoulieu,ML02,3.167,65.48,19,2.923,5.803,2.413,466,0.126,21.386,82.073
G01_02,Dry,Grave,G,Grave,G01,3.803,49.775,27,1.75,2.088,2.395,1471,0.075,8.946,3.576
SQ11_01,Dry,Sourroque,SQ,Sourroque,SQ11,3.183,46.801,15,1.1,1.255,2.39,927,0.236,23.743,33.158
ML07_13,Wet,Montoulieu,ML,Montoulieu,ML07,4.039,59.738,27,1.699,7.583,2.374,466,0.126,21.386,82.073
G04_06,Normal,Grave,G,Grave,G04,3.193,57.989,13,1.327,5.085,2.36,1471,0.075,8.946,3.576
SQ10_09,Normal,Sourroque,SQ,Sourroque,SQ10,3.395,49.358,25,3.416,5.518,2.356,927,0.236,23.743,33.158
G05_06,Normal,Grave,G,Grave,G05,4.326,50.964,19,1.038,5.104,2.351,1471,0.075,8.946,3.576
TC02_11,Wet,Montoulieu,TC,Tournac,TC02,3.584,59.397,22,2.833,12.372,2.344,1021,0.535,25.54,80.538
AT15_01,Dry,Sourroque,AT,Ates,AT15,3.399,44.426,19,0.498,2.155,2.32,750,0.422,13.803,6.34
SQ05_02,Dry,Sourroque,SQ,Sourroque,SQ05,3.397,44.332,32,1.196,2.156,2.319,927,0.236,23.743,33.158
ML12_07,Normal,Montoulieu,ML,Montoulieu,ML12,3.016,64.587,19,2.026,4.745,2.318,466,0.126,21.386,82.073
TC06_15,Wet,Montoulieu,TC,Tournac,TC06,3.678,53.32,26,0.377,7.366,2.308,1021,0.535,25.54,80.538
ML07_07,Normal,Montoulieu,ML,Montoulieu,ML07,4.114,64.004,25,1.948,6.077,2.304,466,0.126,21.386,82.073
AT02_11,Wet,Sourroque,AT,Ates,AT02,4.378,61.343,18,0.561,11.324,2.296,750,0.422,13.803,6.34
TP16_07,Normal,Sourroque,TP,Toupi,TP16,4.316,48.281,17,1.23,10.023,2.295,1184,0.985,8.623,119.055
G08_03,Dry,Grave,G,Grave,G08,3.392,47.815,21,1.208,1.76,2.273,1471,0.075,8.946,3.576
ML05_10,Normal,Montoulieu,ML,Montoulieu,ML05,3.466,74.794,21,1.074,5.725,2.271,466,0.126,21.386,82.073
G04_05,Dry,Grave,G,Grave,G04,3.673,55.374,23,0.309,2.244,2.228,1471,0.075,8.946,3.576
ML11_13,Wet,Montoulieu,ML,Montoulieu,ML11,2.614,61.931,21,0.989,11.416,2.19,466,0.126,21.386,82.073
ML02_01,Dry,Montoulieu,ML,Montoulieu,ML02,4.11,49.964,31,2.054,3.205,2.184,466,0.126,21.386,82.073
TP02_09,Normal,Sourroque,TP,Toupi,TP02,3.294,59.259,20,2.698,4.591,2.178,1184,0.985,8.623,119.055
G09_09,Normal,Grave,G,Grave,G09,3.389,52.991,15,0.537,5.075,2.167,1471,0.075,8.946,3.576
SQ12_01,Dry,Sourroque,SQ,Sourroque,SQ12,3.139,38.26,20,0,0.925,2.162,927,0.236,23.743,33.158
F04_11,Wet,Grave,F,Freaux,F04,3.32,51.328,25,1.158,8.355,2.154,1409,0.194,29.362,9.545
G06_08,Normal,Grave,G,Grave,G06,3.897,51.397,27,1.984,4.195,2.145,1471,0.075,8.946,3.576
F01_02,Dry,Grave,F,Freaux,F01,2.558,69.641,25,0.232,1.399,2.144,1409,0.194,29.362,9.545
F04_07,Normal,Grave,F,Freaux,F04,2.584,46.486,20,2.245,4.203,2.141,1409,0.194,29.362,9.545
G02_12,Wet,Grave,G,Grave,G02,4.062,48.83,22,1.704,6.569,2.131,1471,0.075,8.946,3.576
SQ13_05,Dry,Sourroque,SQ,Sourroque,SQ13,2.352,49.274,21,1.63,1.415,2.12,927,0.236,23.743,33.158
AT13_04,Dry,Sourroque,AT,Ates,AT13,3.366,44.979,26,1.138,1.421,2.111,750,0.422,13.803,6.34
ML07_08,Normal,Montoulieu,ML,Montoulieu,ML07,3.8534,75.061,28,2.458,7.582,2.11,466,0.126,21.386,82.073
AT14_02,Dry,Sourroque,AT,Ates,AT14,2.826,53.176,24,1.294,0.955,2.094,750,0.422,13.803,6.34
ML07_05,Dry,Montoulieu,ML,Montoulieu,ML07,3.935,27.185,27,0.905,2.39,2.092,466,0.126,21.386,82.073
G01_15,Wet,Grave,G,Grave,G01,4.159,52.791,18,1.712,13.414,2.087,1471,0.075,8.946,3.576
F05_01,Dry,Grave,F,Freaux,F05,3.838,45.649,18,2.639,1.442,2.08,1409,0.194,29.362,9.545
AT15_05,Dry,Sourroque,AT,Ates,AT15,3.789,46.148,21,0.495,1.446,2.075,750,0.422,13.803,6.34
F01_12,Wet,Grave,F,Freaux,F01,3.145,48.206,34,2.032,10.735,2.049,1409,0.194,29.362,9.545
TP02_06,Normal,Sourroque,TP,Toupi,TP02,2.99,58.888,19,2.957,6.42,2.025,1184,0.985,8.623,119.055
ML05_08,Normal,Montoulieu,ML,Montoulieu,ML05,3.506,72.047,26,2.811,5.941,2.02,466,0.126,21.386,82.073
ML05_03,Dry,Montoulieu,ML,Montoulieu,ML05,3.472,49.855,25,2.258,2.991,2.006,466,0.126,21.386,82.073
F04_06,Normal,Grave,F,Freaux,F04,2.948,51.089,15,0.437,4.519,1.992,1409,0.194,29.362,9.545
ML04_09,Normal,Montoulieu,ML,Montoulieu,ML04,2.708,82.212,37,3.289,3.018,1.988,466,0.126,21.386,82.073
SQ13_04,Dry,Sourroque,SQ,Sourroque,SQ13,4.211,40.419,23,0.501,2.02,1.98,927,0.236,23.743,33.158
SQ14_09,Normal,Sourroque,SQ,Sourroque,SQ14,3.163,63.544,23,3.177,3.546,1.974,927,0.236,23.743,33.158
F07_03,Dry,Grave,F,Freaux,F07,4.117,48.771,28,2.193,2.041,1.96,1409,0.194,29.362,9.545
F08_03,Dry,Grave,F,Freaux,F08,2.941,52.02,16,0.299,1.023,1.955,1409,0.194,29.362,9.545
SQ09_01,Dry,Sourroque,SQ,Sourroque,SQ09,3.223,43.412,23,1.542,1.54,1.948,927,0.236,23.743,33.158
G02_10,Normal,Grave,G,Grave,G02,3.781,48.786,24,1.945,5.649,1.947,1471,0.075,8.946,3.576
TP02_02,Dry,Sourroque,TP,Toupi,TP02,3.811,45.309,16,1.861,2.065,1.937,1184,0.985,8.623,119.055
SQ13_03,Dry,Sourroque,SQ,Sourroque,SQ13,4.134,43.784,16,1.454,1.56,1.923,927,0.236,23.743,33.158
AT01_01,Dry,Sourroque,AT,Ates,AT01,4.115,44.913,18,1.982,2.082,1.921,750,0.422,13.803,6.34
AT14_01,Dry,Sourroque,AT,Ates,AT14,3.331,61.098,19,0.751,1.562,1.921,750,0.422,13.803,6.34
G03_08,Normal,Grave,G,Grave,G03,3.457,48.831,20,1.062,4.26,1.878,1471,0.075,8.946,3.576
G02_07,Normal,Grave,G,Grave,G02,3.763,53.448,20,1.94,3.805,1.84,1471,0.075,8.946,3.576
G02_06,Normal,Grave,G,Grave,G02,3.535,51.994,18,1.657,3.869,1.809,1471,0.075,8.946,3.576
AT01_02,Dry,Sourroque,AT,Ates,AT01,3.495,44.359,26,2.624,1.115,1.794,750,0.422,13.803,6.34
AT12_15,Wet,Sourroque,AT,Ates,AT12,3.418,49.613,30,1.497,12.319,1.786,750,0.422,13.803,6.34
SQ10_10,Normal,Sourroque,SQ,Sourroque,SQ10,2.671,61.084,25,2.938,3.393,1.768,927,0.236,23.743,33.158
AT10_04,Dry,Sourroque,AT,Ates,AT10,3.445,43.836,19,0.501,1.698,1.767,750,0.422,13.803,6.34
G10_04,Dry,Grave,G,Grave,G10,3.806,48.618,19,0.833,1.752,1.712,1471,0.075,8.946,3.576
SQ13_01,Dry,Sourroque,SQ,Sourroque,SQ13,3.153,57.229,19,2.779,1.176,1.701,927,0.236,23.743,33.158
G01_01,Dry,Grave,G,Grave,G01,2.993,50.877,22,1.191,1.765,1.7,1471,0.075,8.946,3.576
SQ10_03,Dry,Sourroque,SQ,Sourroque,SQ10,3.506,40.24,22,5.453,2.392,1.672,927,0.236,23.743,33.158
F06_05,Dry,Grave,F,Freaux,F06,3.929,56.959,21,0.266,2.485,1.61,1409,0.194,29.362,9.545
SQ14_06,Normal,Sourroque,SQ,Sourroque,SQ14,3.483,54.895,38,3.376,3.732,1.608,927,0.236,23.743,33.158
PN10_12,Wet,Axat,PN,Paounias,PN10,3.474,42.684,22,2.636,5.62,1.601,909,0.186,16.179,113.962
G10_05,Dry,Grave,G,Grave,G10,3.558,50.117,14,1.743,2.545,1.572,1471,0.075,8.946,3.576
AT12_05,Dry,Sourroque,AT,Ates,AT12,3.532,41.535,22,1.32,1.31,1.527,750,0.422,13.803,6.34
AT10_03,Dry,Sourroque,AT,Ates,AT10,3.631,42.028,24,1.183,1.966,1.526,750,0.422,13.803,6.34
SQ14_15,Wet,Sourroque,SQ,Sourroque,SQ14,2.572,48.357,23,5.878,4.59,1.525,927,0.236,23.743,33.158
SQ10_01,Dry,Sourroque,SQ,Sourroque,SQ10,2.773,48.753,20,2.146,1.359,1.472,927,0.236,23.743,33.158
TP11_01,Dry,Sourroque,TP,Toupi,TP11,2.853,53.077,16,0.945,1.408,1.42,1184,0.985,8.623,119.055
AT13_07,Normal,Sourroque,AT,Ates,AT13,3.72,62.861,24,1.051,5.751,1.391,750,0.422,13.803,6.34
SQ09_05,Dry,Sourroque,SQ,Sourroque,SQ09,3.574,43.658,13,1.545,2.167,1.384,927,0.236,23.743,33.158
G09_05,Dry,Grave,G,Grave,G09,3.193,48.917,18,0.476,1.463,1.367,1471,0.075,8.946,3.576
TP10_02,Dry,Sourroque,TP,Toupi,TP10,3.238,51.397,19,1.169,1.481,1.35,1184,0.985,8.623,119.055
F10_02,Dry,Grave,F,Freaux,F10,3.66,48.198,24,1.385,1.541,1.298,1409,0.194,29.362,9.545
AT09_05,Dry,Sourroque,AT,Ates,AT09,1.709,51.795,18,0,1.565,1.278,750,0.422,13.803,6.34
ML05_09,Normal,Montoulieu,ML,Montoulieu,ML05,3.64,70.113,24,2.065,7.079,1.271,466,0.126,21.386,82.073
G07_01,Dry,Grave,G,Grave,G07,2.994,42.639,20,0,1.587,1.26,1471,0.075,8.946,3.576
ML04_15,Wet,Montoulieu,ML,Montoulieu,ML04,3.014,66.662,15,1.035,5.679,1.233,466,0.126,21.386,82.073
SQ10_04,Dry,Sourroque,SQ,Sourroque,SQ10,3.456,40.367,21,2.375,1.639,1.22,927,0.236,23.743,33.158
G03_02,Dry,Grave,G,Grave,G03,3.639,45.513,19,0.907,1.642,1.218,1471,0.075,8.946,3.576
AT08_09,Normal,Sourroque,AT,Ates,AT08,3.626,58.784,24,0.861,4.165,1.2,750,0.422,13.803,6.34
SQ14_11,Wet,Sourroque,SQ,Sourroque,SQ14,3.128,58.224,21,7.123,6.691,1.196,927,0.236,23.743,33.158
SQ10_07,Normal,Sourroque,SQ,Sourroque,SQ10,3.223,51.569,26,3.353,5.107,1.175,927,0.236,23.743,33.158
F10_01,Dry,Grave,F,Freaux,F10,3.405,54.536,21,0.758,1.725,1.159,1409,0.194,29.362,9.545
AT13_03,Dry,Sourroque,AT,Ates,AT13,3.684,45.167,18,1.217,1.749,1.144,750,0.422,13.803,6.34
AT08_03,Dry,Sourroque,AT,Ates,AT08,3.942,39.175,21,0.44,1.762,1.135,750,0.422,13.803,6.34
AT08_04,Dry,Sourroque,AT,Ates,AT08,2.852,44.966,20,1.604,2.705,1.109,750,0.422,13.803,6.34
F05_03,Dry,Grave,F,Freaux,F05,2.559,61.959,19,0,0.969,1.032,1409,0.194,29.362,9.545
G04_04,Dry,Grave,G,Grave,G04,3.973,46.562,24,0,1.944,1.029,1471,0.075,8.946,3.576
F07_02,Dry,Grave,F,Freaux,F07,4.344,43.492,24,1.003,1.957,1.022,1409,0.194,29.362,9.545
SQ02_02,Dry,Sourroque,SQ,Sourroque,SQ02,3.021,47.334,15,3.535,1.966,1.017,927,0.236,23.743,33.158
ML02_02,Dry,Montoulieu,ML,Montoulieu,ML02,3.594,52.817,21,1.197,1.004,0.996,466,0.126,21.386,82.073
AT15_04,Dry,Sourroque,AT,Ates,AT15,3.359,53.277,20,1.696,1.04,0.962,750,0.422,13.803,6.34
SQ09_04,Dry,Sourroque,SQ,Sourroque,SQ09,4.042,41.142,29,1.275,2.135,0.937,927,0.236,23.743,33.158
G09_02,Dry,Grave,G,Grave,G09,3.718,78.771,20,0,2.165,0.924,1471,0.075,8.946,3.576
SQ02_01,Dry,Sourroque,SQ,Sourroque,SQ02,3.089,44.516,20,0.503,1.205,0.83,927,0.236,23.743,33.158
SQ12_03,Dry,Sourroque,SQ,Sourroque,SQ12,3.357,39.605,17,0.636,1.215,0.823,927,0.236,23.743,33.158
SQ13_02,Dry,Sourroque,SQ,Sourroque,SQ13,3.242,44.101,21,0,2.625,0.762,927,0.236,23.743,33.158
AT14_03,Dry,Sourroque,AT,Ates,AT14,3.257,40.044,14,0.3,1.341,0.746,750,0.422,13.803,6.34
F07_05,Dry,Grave,F,Freaux,F07,3.913,53.756,23,1.14,1.352,0.74,1409,0.194,29.362,9.545
SQ14_13,Wet,Sourroque,SQ,Sourroque,SQ14,4.055,54.063,21,5.459,9.497,0.737,927,0.236,23.743,33.158
TP02_04,Dry,Sourroque,TP,Toupi,TP02,2.206,49.852,20,1.34,1.424,0.702,1184,0.985,8.623,119.055
F09_03,Dry,Grave,F,Freaux,F09,3.844,51.072,21,1.216,1.482,0.675,1409,0.194,29.362,9.545
F09_02,Dry,Grave,F,Freaux,F09,3.831,44.635,25,1.36,1.503,0.665,1409,0.194,29.362,9.545
SQ15_03,Dry,Sourroque,SQ,Sourroque,SQ15,3.76,41.283,23,1.04,1.525,0.656,927,0.236,23.743,33.158
SQ02_04,Dry,Sourroque,SQ,Sourroque,SQ02,3.699,49.345,21,0.748,1.53,0.654,927,0.236,23.743,33.158
G04_01,Dry,Grave,G,Grave,G04,3.878,39.235,27,0.561,1.64,0.61,1471,0.075,8.946,3.576
AT10_01,Dry,Sourroque,AT,Ates,AT10,3.185,44.888,18,0.492,1.661,0.602,750,0.422,13.803,6.34
SQ14_10,Normal,Sourroque,SQ,Sourroque,SQ14,2.809,64.527,22,5.37,5.484,0.547,927,0.236,23.743,33.158
SQ14_12,Wet,Sourroque,SQ,Sourroque,SQ14,3.31,52.616,17,6.175,7.376,0.542,927,0.236,23.743,33.158
G02_04,Dry,Grave,G,Grave,G02,3.57,60.112,14,1.291,1.979,0.505,1471,0.075,8.946,3.576
G08_04,Dry,Grave,G,Grave,G08,3.545,54.236,28,1.004,2.049,0.488,1471,0.075,8.946,3.576
G04_03,Dry,Grave,G,Grave,G04,3.419,49.719,22,0.26,2.165,0.462,1471,0.075,8.946,3.576
SQ10_05,Dry,Sourroque,SQ,Sourroque,SQ10,3.501,43.009,23,1.72,2.302,0.434,927,0.236,23.743,33.158
G01_05,Dry,Grave,G,Grave,G01,4.14,48.15,17,2.362,2.358,0.424,1471,0.075,8.946,3.576
SQ14_07,Normal,Sourroque,SQ,Sourroque,SQ14,4.308,69.674,21,6.055,5.337,0.375,927,0.236,23.743,33.158
SQ14_08,Normal,Sourroque,SQ,Sourroque,SQ14,3.835,71.598,23,4.275,5.749,0.174,927,0.236,23.743,33.158
F10_05,Dry,Grave,F,Freaux,F10,3.162,39.707,22,1.562,0.685,0,1409,0.194,29.362,9.545
AT13_01,Dry,Sourroque,AT,Ates,AT13,3.078,39.582,29,1.005,0.754,0,750,0.422,13.803,6.34
G01_03,Dry,Grave,G,Grave,G01,3.484,44.416,25,0.633,1.234,0,1471,0.075,8.946,3.576
G02_03,Dry,Grave,G,Grave,G02,3.075,50.645,12,0.708,1.286,0,1471,0.075,8.946,3.576
F04_05,Dry,Grave,F,Freaux,F04,3.758,42.375,24,1.564,1.458,0,1409,0.194,29.362,9.545
TP16_02,Dry,Sourroque,TP,Toupi,TP16,2.741,41.946,13,0,1.482,0,1184,0.985,8.623,119.055
G02_01,Dry,Grave,G,Grave,G02,3.828,34.302,22,0.865,1.52,0,1471,0.075,8.946,3.576
AT08_01,Dry,Sourroque,AT,Ates,AT08,3.184,31.678,15,0.469,1.664,0,750,0.422,13.803,6.34
SQ14_02,Dry,Sourroque,SQ,Sourroque,SQ14,3.207,42.257,24,2.984,1.671,0,927,0.236,23.743,33.158
G10_03,Dry,Grave,G,Grave,G10,3.716,46.579,14,2.388,1.679,0,1471,0.075,8.946,3.576
SQ14_03,Dry,Sourroque,SQ,Sourroque,SQ14,3.448,45.578,23,2.634,1.697,0,927,0.236,23.743,33.158
AT08_05,Dry,Sourroque,AT,Ates,AT08,3.469,50.847,18,0.29,1.913,0,750,0.422,13.803,6.34
AT08_02,Dry,Sourroque,AT,Ates,AT08,3.745,47.013,25,0.499,1.95,0,750,0.422,13.803,6.34
SQ14_05,Dry,Sourroque,SQ,Sourroque,SQ14,3.883,47.6,27,1.788,2.116,0,927,0.236,23.743,33.158
G02_02,Dry,Grave,G,Grave,G02,3.087,52.393,21,2.343,2.425,0,1471,0.075,8.946,3.576
