Year,Season,Month,Name,AcresBurned,Counties,CrewsInvolved,Dozers,Engines
2017,Summer,Jul,Deer Complex,231,Contra Costa,NA,NA,NA
2017,Summer,Jul,Spring Fire,225,Mariposa,23,NA,41
2017,Spring,May,Camp Fire,225,San Luis Obispo,NA,NA,NA
2017,Spring,May,Arrow Fire,225,San Luis Obispo,NA,NA,NA
2017,Summer,Jun,Bodfish Fire,206,Kern,NA,NA,NA
2017,Summer,Jul,Eagle Fire,205,Riverside,NA,NA,NA
2017,Fall,Sep,Skeleton Fire,200,Lake,NA,NA,NA
2017,Summer,Aug,Range Fire,200,Alameda,NA,NA,NA
2017,Summer,Aug,Eclipse Fire,200,San Diego,NA,NA,NA
2017,Summer,Jul,Rose Fire,200,Riverside,NA,NA,NA
2017,Fall,Oct,Tehama Fire,194,Tehama,NA,NA,NA
2017,Spring,May,Wasioja Fire,190,Santa Barbara,NA,NA,NA
2017,Summer,Aug,Toll Fire,186,Plumas,NA,NA,NA
2017,Summer,Jun,Wild Fire,186,Fresno,NA,NA,NA
2017,Fall,Oct,Rolling Fire,184,Kern,NA,NA,NA
2017,Fall,Oct,Quarry Fire,183,Kern,NA,NA,NA
2017,Summer,Jul,Laverne Fire,180,Shasta,NA,NA,NA
2017,Summer,Jul,High Fire,170,San Bernardino,NA,NA,NA
2017,Summer,Aug,Hills Fire,168,Riverside,NA,NA,NA
2017,Summer,Jun,Evans Fire,168,Sierra,NA,NA,NA
2017,Summer,Jul,Honcut Fire,166,Butte,NA,NA,NA
2017,Summer,Aug,Peg Fire,157,Lassen,NA,NA,NA
2017,Summer,Jun,26 Fire,157,Madera,NA,NA,NA
2017,Fall,Sep,Corral Fire,155,Alameda,NA,NA,NA
2017,Summer,Jul,Hill Fire,155,Siskiyou,NA,NA,NA
2017,Summer,Jun,Smiley Fire,153,Riverside,NA,NA,NA
2017,Fall,Oct,Honey Fire,150,Butte,NA,NA,NA
2017,Summer,Jul,Olive Fire,150,San Luis Obispo,NA,NA,NA
2017,Summer,Jun,Lucy Fire,150,San Luis Obispo,NA,NA,NA
2017,Spring,May,41 Fire,150,Madera,NA,NA,NA
2017,Spring,Apr,Tower Fire,150,San Bernardino,NA,NA,NA
2017,Fall,Oct,River Fire,148,Trinity,NA,NA,NA
2017,Fall,Sep,Grape Fire,146,Mendocino,NA,NA,NA
2017,Fall,Sep,Soda Fire,143,Butte,NA,NA,NA
2017,Summer,Jul,Ranch Fire,140,El Dorado,NA,NA,NA
2017,Fall,Sep,French Fire,136,El Dorado,NA,NA,NA
2017,Summer,Jul,Gorman Fire,135,Los Angeles,NA,NA,NA
2017,Summer,Jun,King Fire,135,Tulare,10,NA,20
2017,Summer,Jun,Skyway Fire,134,Butte,NA,NA,NA
2017,Fall,Oct,Point Fire,130,Calaveras,NA,NA,NA
2017,Fall,Sep,Border Fire,130,San Diego,10,3,20
2017,Spring,May,Olive Fire,130,San Luis Obispo,NA,NA,NA
2017,Summer,Jul,Oak Fire,128,Shasta,NA,NA,NA
2017,Spring,Apr,Tumey Fire,126,Fresno,NA,NA,NA
2017,Summer,Aug,Coronado Fire,125,Mariposa,NA,NA,NA
2017,Summer,Jul,Twist Fire,124,Tuolumne,NA,NA,NA
2017,Summer,Aug,Stewart Fire,122,Riverside,NA,NA,NA
2017,Fall,Sep,Margarita Fire,120,San Luis Obispo,NA,NA,NA
2017,Spring,May,Lamb Fire,120,Riverside,NA,NA,NA
2017,Summer,Jul,Maria Fire,117,Calaveras,NA,NA,NA
2017,Fall,Oct,Fallon Fire,116,Alameda,NA,NA,NA
2017,Summer,Aug,Canyon Fire,114,Napa,1,NA,5
2017,Summer,Aug,Flat Fire,111,Fresno,NA,NA,NA
2017,Summer,Jun,Lone Fire,111,Butte,NA,NA,NA
2017,Fall,Sep,Poly Fire,105,San Luis Obispo,NA,NA,NA
2017,Summer,Jun,Canyon Fire,105,Riverside,NA,NA,NA
2017,Summer,Jul,Humboldt Fire,103,Butte,NA,NA,NA
2017,Summer,Aug,Coalinga Fire,102,Fresno,NA,NA,NA
2017,Summer,Jul,Lariat Fire,101,Santa Clara,NA,NA,NA
2017,Fall,Oct,Church Fire,100,San Diego,NA,NA,NA
2017,Fall,Oct,Oakmont Fire (Central LNU Complex),100,Sonoma,NA,NA,NA
2017,Fall,Oct,Long Fire,100,Lake,NA,NA,NA
2017,Fall,Oct,Timm Fire,100,Solano,NA,NA,NA
2017,Fall,Sep,Bally Fire,100,Santa Clara,NA,NA,NA
2017,Fall,Sep,Parkfield Fire,100,Fresno,NA,NA,NA
2017,Summer,Aug,Tilton Fire,100,Santa Clara,NA,NA,NA
2017,Summer,Jul,Mile Fire,100,San Bernardino,NA,NA,NA
2017,Fall,Nov,Oak Fire,99,San Bernardino,NA,NA,NA
2017,Summer,Aug,Reed Fire,92,Riverside,NA,NA,NA
2017,Summer,Jul,Auberry Fire,91,Fresno,NA,NA,NA
2017,Summer,Jun,Wilbur Fire,91,Butte,NA,NA,NA
2017,Summer,Jul,Daulton Fire,90,Madera,NA,NA,NA
2017,Fall,Oct,Ridge Fire,87,Lake,NA,NA,NA
2017,Fall,Oct,Vista Fire,86,Ventura,NA,NA,NA
2017,Summer,Aug,Marlborough Fire,85,Riverside,NA,NA,NA
2017,Summer,Aug,Saw Fire,85,Humboldt,NA,NA,NA
2017,Summer,Jul,Dollar Fire,85,San Bernardino,NA,NA,NA
2017,Summer,Jun,Ranch Fire,85,Santa Clara,NA,NA,NA
2017,Summer,Aug,Country Fire,82,Monterey,NA,NA,NA
2017,Fall,Oct,Loma Fire,81,San Diego,NA,NA,NA
2017,Winter,Dec,Holiday Fire,80,El Dorado,NA,NA,NA
2017,Fall,Sep,Mills File,79,Plumas,NA,NA,NA
2017,Spring,May,Fountain Fire,79,Tulare,NA,NA,NA
2017,Summer,Jul,Castro Fire,78,Santa Clara,NA,NA,NA
2017,Summer,Jun,Spring Fire,78,Tehama,NA,NA,NA
2017,Fall,Oct,McCourtney Fire (Wind Complex),76,Nevada,NA,NA,NA
2017,Summer,Jun,Tivy Fire,76,Fresno,NA,NA,NA
2017,Fall,Sep,Linne Fire,74,San Luis Obispo,NA,NA,NA
2017,Summer,Jul,Axel Fire,74,El Dorado,2,NA,5
2017,Summer,Jul,Bryant Fire,74,San Bernardino,NA,NA,NA
2017,Fall,Oct,Lynch Fire,73,San Luis Obispo,NA,NA,NA
2017,Summer,Jul,Ellis Fire,72,Riverside,NA,NA,NA
2017,Summer,Aug,Camatta Fire,70,San Luis Obispo,NA,NA,NA
2017,Summer,Jul,Sand Fire,70,Colusa,4,4,10
2017,Summer,Jul,Felipe Fire,70,Santa Clara,NA,NA,NA
2017,Spring,May,Manning Fire,70,Fresno,NA,NA,NA
2017,Summer,Aug,Hill Fire,69,Fresno,NA,NA,NA
2017,Summer,Jun,Clay Fire,68,Sacramento,NA,NA,NA
2017,Summer,Jun,River Fire,67,Lassen,NA,NA,NA
2017,Summer,Jun,Orange Fire,65,Stanislaus,NA,NA,NA
2017,Summer,Jul,Placentia Fire,63,Riverside,NA,NA,NA
2017,Summer,Jun,Westfall Fire,63,Mariposa,NA,NA,NA
2017,Summer,Aug,Montezuma Fire,62,San Diego,NA,NA,NA
2017,Summer,Aug,Bottle Fire,62,Lake,NA,NA,NA
2017,Summer,Jul,Lake Fire,62,Stanislaus,NA,NA,NA
2017,Summer,Jun,Bolla Fire,60,Tehama,NA,NA,NA
2017,Summer,Jul,Fox Fire,59,Tulare,NA,NA,NA
2017,Summer,Jul,Quail Fire,59,Calaveras,NA,NA,NA
2017,Fall,Oct,Silver Fire,58,Fresno,NA,NA,NA
2017,Fall,Sep,Slides Fire,58,Lake,NA,NA,NA
2017,Summer,Jul,Hogback Fire,58,Tulare,NA,NA,NA
2017,Summer,Jul,Tower Fire,58,San Luis Obispo,NA,NA,NA
2017,Summer,Jul,Live Fire,57,Tehama,NA,NA,NA
2017,Summer,Jul,Freedom Fire,57,Fresno,NA,NA,NA
2017,Summer,Jun,Bogus Fire,56,Siskiyou,NA,NA,NA
2017,Fall,Sep,Estate Fire,55,Solano,NA,NA,NA
2017,Summer,Aug,Owens Fire,55,Siskiyou,NA,NA,NA
2017,Summer,Jun,Topanga Fire,55,Los Angeles,NA,NA,NA
2017,Summer,Aug,Bradley Fire,54,Siskiyou,NA,NA,NA
2017,Summer,Jun,Quimby Fire,54,Santa Clara,NA,NA,NA
2017,Summer,Jul,Weller Fire,51,Santa Clara,NA,NA,NA
2017,Fall,Oct,Tank Fire,50,Kern,NA,NA,NA
2017,Fall,Oct,Extension Fire,50,Riverside,NA,NA,NA
2017,Fall,Oct,Wilson Fire,50,Los Angeles,NA,NA,NA
2017,Fall,Sep,Skeggs Fire,50,San Mateo,4,NA,5
2017,Summer,Aug,Calgary Fire,50,Kern,NA,NA,NA
2017,Summer,Jul,Mesa Fire,50,Santa Barbara,NA,NA,NA
2017,Summer,Jul,West Fire,50,Yuba,NA,NA,NA
2017,Summer,Jul,Grade Fire,50,Ventura,NA,NA,NA
2017,Summer,Jul,Lago Fire,50,Riverside,NA,NA,NA
2017,Summer,Jun,Douglas Fire,50,San Diego,NA,NA,NA
2017,Fall,Sep,Power Fire,48,Madera,NA,NA,NA
2017,Spring,May,Serenas Fire,48,Riverside,NA,NA,NA
2017,Fall,Nov,Bitterwater Fire,47,San Benito,NA,NA,NA
2017,Summer,Jul,Zenon Fire,47,San Luis Obispo,NA,NA,NA
2017,Summer,Aug,Canyon Fire,46,Riverside,NA,NA,NA
2017,Summer,Jul,Hidden Fire,46,San Bernardino,NA,NA,NA
2017,Summer,Jun,Whitepine Fire,46,Siskiyou,NA,NA,NA
2017,Winter,Dec,Riverbottom Fire,45,Riverside,NA,NA,NA
2017,Fall,Oct,Pozo Fire,45,San Luis Obispo,NA,NA,NA
2017,Spring,Apr,Grace Fire,45,Shasta,NA,NA,NA
2017,Summer,Aug,Mines Fire,44,Alameda,NA,NA,NA
2017,Fall,Nov,Roser Fire,43,Tehama,NA,NA,NA
2017,Fall,Sep,Pine Fire,43,Monterey,NA,NA,NA
2017,Summer,Jun,Lockwood Fire,42,Monterey,NA,NA,NA
2017,Summer,Jun,Paskenta Fire,42,Tehama,NA,NA,NA
2017,Summer,Jun,Jones Fire,42,Modoc,NA,NA,NA
2017,Summer,Aug,Ward Fire,41,Siskiyou,NA,NA,NA
2017,Summer,Jun,Stokes Fire,41,Los Angeles,NA,NA,NA
2017,Spring,May,Feed Fire,41,Kern,NA,NA,NA
2017,Winter,Dec,Riverdale Fire,40,Riverside,NA,NA,NA
2017,Fall,Nov,Palm Fire,40,Riverside,NA,NA,NA
2017,Fall,Oct,Freeway Fire,40,San Bernardino,NA,NA,NA
2017,Fall,Oct,Jones Fire,40,Shasta,NA,NA,NA
2017,Fall,Sep,Lakewood Fire,40,Kern,NA,NA,NA
2017,Fall,Sep,Hole Fire,40,Del Norte,NA,NA,NA
2017,Summer,Aug,Translator Fire,40,Humboldt,NA,NA,NA
2017,Summer,Aug,Vestal Fire,40,Tehama,NA,NA,NA
2017,Summer,Jul,Murphy Fire,40,Lake,NA,NA,NA
2017,Summer,Jul,Reservation Fire,40,Monterey,NA,NA,NA
2017,Fall,Sep,Table Fire,39,Tuolumne,NA,NA,NA
2017,Summer,Jul,Spenceville Fire,39,Yuba,NA,NA,NA
2017,Summer,Jun,Toll Fire,39,Solano,NA,NA,NA
2017,Summer,Jun,Pine Fire,38,Marin,NA,NA,NA
2017,Summer,Jun,Red Fire,38,Tuolumne,NA,NA,NA
2017,Fall,Oct,Bridge Fire,37,Shasta,NA,NA,NA
2017,Summer,Jul,Banderilla Fire,36,Mariposa,NA,NA,NA
2017,Summer,Jun,Black Fire,36,San Diego,NA,NA,NA
2017,Fall,Sep,Melba Fire,35,Riverside,NA,NA,NA
2017,Summer,Jul,Spaletta Fire,35,Marin,NA,NA,NA
2017,Summer,Jul,Jurupa Fire,35,Riverside,NA,NA,NA
2017,Summer,Jun,Latrobe Fire,35,Sacramento,NA,NA,NA
2017,Summer,Jun,Breckenridge Fire,35,Kern,NA,NA,NA
2017,Spring,May,Smiley Fire,35,Riverside,NA,NA,NA
2017,Winter,Dec,Meyers Fire,34,San Bernardino,NA,NA,NA
2017,Fall,Sep,Ellie Fire,34,Riverside,NA,NA,NA
2017,Summer,Aug,Miller Fire,34,Humboldt,NA,NA,NA
2017,Summer,Jul,Valley Fire,34,San Benito,NA,NA,NA
2017,Summer,Jul,Christmas Fire,33,Riverside,NA,NA,NA
2017,Summer,Jun,Valley Fire,33,Riverside,NA,NA,NA
2017,Summer,Jun,Creek Fire,33,Kern,NA,NA,NA
2017,Summer,Aug,Sandy Fire,32,Trinity,NA,NA,NA
2017,Summer,Jul,Washington Fire,32,Riverside,NA,NA,NA
2017,Summer,Jun,Shore Fire,32,Monterey,NA,NA,NA
2017,Summer,Jun,Pleyto Fire,32,Monterey,NA,NA,NA
2017,Fall,Oct,York Fire,31,Monterey,NA,NA,NA
2017,Summer,Aug,Juniper Fire,31,Fresno,NA,NA,NA
2017,Spring,May,Hub Fire,31,Kern,NA,NA,NA
2017,Summer,Aug,Castaic Fire,30,Los Angeles,NA,NA,NA
2017,Summer,Aug,Blocksburg Fire,30,Humboldt,NA,NA,NA
2017,Summer,Jul,Timber Fire,30,Riverside,NA,NA,NA
2017,Fall,Oct,Ice Fire,29,El Dorado,NA,NA,NA
2017,Summer,Jul,Benson Fire,29,Tehama,NA,NA,NA
2017,Fall,Sep,32 Fire,28,Butte,NA,NA,NA
2017,Summer,Aug,4-4 Fire,28,Modoc,NA,NA,NA
2017,Summer,Jun,Shore Fire,28,Del Norte,NA,NA,NA
2017,Summer,Jun,Nuevo Fire,28,Riverside,NA,NA,NA
2017,Summer,Aug,4-10 Fire,27,Modoc,NA,NA,NA
2017,Summer,Jun,Vernon Fire,27,Riverside,NA,NA,NA
2017,Fall,Sep,Jasper Fire,26,Yuba,NA,NA,NA
2017,Summer,Jun,Trellis Fire,26,Riverside,NA,NA,NA
2017,Summer,Jun,Fairview Fire,26,Riverside,NA,NA,NA
2017,Fall,Oct,Wilson Fire,25,San Diego,NA,NA,NA
2017,Fall,Sep,Cove Fire,25,San Luis Obispo,NA,NA,NA
2017,Fall,Sep,Border 9 Fire,25,San Diego,NA,NA,NA
2017,Fall,Sep,Hopper Fire,25,Shasta,NA,NA,NA
2017,Summer,Jun,Sloane Fire,25,San Diego,NA,NA,NA
2017,Summer,Jun,Road Fire,25,Madera,NA,NA,NA
2017,Summer,Jun,5 Fire,25,Los Angeles,NA,NA,NA
2017,Spring,May,Ribbonwood Fire,25,San Diego,NA,NA,NA
2017,Fall,Oct,Portola Fire,23,Riverside,NA,NA,NA
2017,Fall,Sep,Edwards Fire,22,Alameda,NA,NA,NA
2017,Summer,Jul,Gold Fire,22,Calaveras,NA,NA,NA
2017,Summer,Jun,Refuge Fire,22,Napa,4,2,6
2017,Fall,Oct,Soda Fire,21,San Luis Obispo,NA,NA,NA
2017,Fall,Sep,Mule Fire,21,Lake,NA,NA,NA
2017,Summer,Jul,Globe Fire,21,Tulare,NA,NA,NA
2017,Summer,Jun,Highway Fire,21,Butte,NA,NA,NA
2017,Summer,Jun,Platina Fire,21,Shasta,NA,NA,NA
2017,Spring,May,Bitterwater Fire,21,San Benito,NA,NA,NA
2017,Fall,Oct,Blue Fire,20,Humboldt,NA,NA,NA
2017,Fall,Oct,Fort Fire,20,Sonoma,NA,NA,NA
2017,Fall,Oct,36 Fire,20,Tehama,NA,NA,NA
2017,Summer,Aug,Falls Fire,20,Tuolumne,NA,NA,NA
2017,Summer,Jul,Seine Fire,20,San Bernardino,NA,NA,NA
2017,Summer,Jul,Range Fire,20,Mendocino,NA,NA,NA
2017,Summer,Jun,Reed Fire,20,Riverside,NA,NA,NA
2017,Summer,Jun,Fish Fire,20,Contra Costa,NA,NA,NA
2017,Spring,May,City Fire,20,Kings,NA,NA,NA
2017,Spring,May,Nacimiento Fire,20,Monterey,NA,NA,NA
2017,Winter,Dec,Longhorn Fire,19,Riverside,NA,NA,NA
2017,Fall,Oct,Garden Fire,19,Nevada,NA,NA,NA
2017,Summer,Aug,Nuevo Fire,19,Riverside,NA,NA,NA
2017,Summer,Aug,Sway Fire,19,Humboldt,NA,NA,NA
2017,Summer,Jul,Willms Fire,19,Stanislaus,NA,NA,NA
2017,Summer,Jun,King Fire,19,Siskiyou,NA,NA,NA
2017,Spring,May,Fay Fire,19,Kern,NA,NA,NA
2017,Summer,Aug,Bodega Fire,18,Sonoma,NA,NA,NA
2017,Summer,Jul,Lakeland Fire,18,Butte,NA,NA,NA
2017,Spring,May,Panoche Fire,18,Fresno,NA,NA,NA
2017,Spring,May,Pine Fire,18,Monterey,NA,NA,NA
2017,Fall,Oct,Ramblin Fire,17,Mariposa,NA,NA,NA
2017,Summer,Aug,Corner Fire,17,Shasta,1,NA,2
2017,Summer,Jul,Sky Fire,17,Shasta,NA,NA,NA
2017,Spring,May,Rocky Fire,17,San Luis Obispo,NA,NA,NA
2017,Spring,May,Lonoak Fire,17,Monterey,NA,NA,NA
2017,Spring,May,Canyon Fire,17,Riverside,NA,NA,NA
2017,Summer,Jun,Elk Fire,16,Kern,NA,NA,NA
2017,Spring,May,Matz Fire,16,San Bernardino,NA,NA,NA
2017,Spring,May,Rusty Fire,16,Fresno,NA,NA,NA
2017,Summer,Aug,Paskenta Fire,15,Tehama,NA,NA,NA
2017,Summer,Jul,Greenhorn Fire,15,Nevada,NA,NA,NA
2017,Summer,Jul,Centerville Fire,15,Modoc,NA,NA,NA
2017,Summer,Jun,Alvarado Fire,15,Monterey,NA,NA,NA
2017,Spring,May,Lombardi Fire,15,Calaveras,NA,NA,NA
2017,Spring,Apr,66 Fire,15,Riverside,NA,NA,NA
2017,Winter,Dec,Drum Fire,14,Santa Barbara,NA,NA,NA
2017,Winter,Dec,Coast Fire,14,Santa Barbara,NA,NA,NA
2017,Summer,Jul,Desabla Fire,14,Butte,NA,NA,NA
2017,Summer,Jun,Hog Fire,14,Monterey,NA,NA,NA
2017,Spring,May,Moraga Fire,14,Riverside,NA,NA,NA
2017,Fall,Oct,Milton Fire,13,Stanislaus,NA,NA,NA
2017,Summer,Jul,Woodland Fire,13,El Dorado,NA,NA,NA
2017,Summer,Jul,Rosado Fire,13,El Dorado,NA,NA,NA
2017,Summer,Jul,Silver Fire,13,San Bernardino,NA,NA,NA
2017,Fall,Sep,Pacific Fire,12,Butte,NA,NA,NA
2017,Summer,Jun,Dehesa Fire,12,San Diego,NA,NA,NA
2017,Spring,May,Shandon Fire,12,San Luis Obispo,NA,NA,NA
2017,Spring,Apr,Jameson Fire,12,Riverside,NA,NA,NA
2017,Winter,Dec,Taglio Fire,12,Merced,NA,NA,NA
2017,Summer,Jul,Independence Fire,11,Sonoma,NA,NA,NA
2017,Summer,Jul,Lisa Fire,11,Riverside,NA,NA,NA
2017,Fall,Oct,Freeway Fire,10,Tehama,NA,NA,NA
2017,Fall,Sep,Dexter Fire,10,Mariposa,NA,NA,NA
2017,Fall,Sep,Shaver Fire,10,Fresno,NA,NA,NA
2017,Summer,Aug,Sandra Fire,10,Amador,NA,NA,NA
2017,Summer,Aug,Rincon Fire,10,Los Angeles,NA,NA,NA
2017,Summer,Jul,Grizzly Fire,10,Nevada,NA,NA,NA
2017,Summer,Jul,North Fire,10,Shasta,NA,NA,NA
2017,Summer,Jul,Navajo Fire,10,Riverside,NA,NA,NA
2017,Summer,Jul,Rebie Fire,10,Butte,NA,NA,NA
2017,Summer,Jul,Canyon Fire,10,Riverside,NA,NA,NA
2017,Summer,Jul,Brewer Fire,10,Nevada,NA,NA,NA
2017,Summer,Jun,Lambs Fire,10,Riverside,NA,NA,NA
2017,Summer,Jun,Springs Fire,10,Riverside,NA,NA,NA
2017,Summer,Jun,Pine Fire,10,Kern,NA,NA,NA
2017,Summer,Jun,Shirleon Fire,10,Riverside,NA,NA,NA
2017,Spring,May,Twenty Fire,10,Yuba,NA,NA,NA
2017,Spring,May,Champagne Fire,10,Kern,NA,NA,NA
2017,Spring,May,Moreno Fire,10,Riverside,NA,NA,NA
2017,Spring,Apr,Soledad Fire,10,Monterey,NA,NA,NA
2017,Fall,Oct,Pressley Fire (Central LNU Complex),0,Sonoma,NA,NA,NA
2017,Fall,Oct,Partrick Fire (Central LNU Complex),0,Napa,NA,NA,NA
2017,Fall,Sep,Rattlesnake Fire,0,Mariposa,NA,NA,NA
2017,Summer,Jul,Clear Complex (merged into Eclipse Complex),0,Siskiyou,NA,NA,NA
2017,Summer,Jul,Warner Mountain Lightning,0,Modoc,NA,NA,NA
2017,Summer,Jul,Creek Fire,0,Glenn,NA,NA,NA
2017,Summer,Jul,Antelope Fire,0,Lassen,NA,NA,NA
2017,Summer,Jul,Klamath Fire,0,Siskiyou,NA,NA,NA
2017,Summer,Jun,Cristianitos Fire,0,San Diego,NA,NA,NA
2017,Summer,Jun,Salmon-August Complex,0,Siskiyou,NA,NA,NA
2017,Summer,Jun,King Incident,0,Tulare,NA,NA,NA
2017,Spring,May,Range Fire,0,San Luis Obispo,NA,NA,NA
2017,Winter,Feb,Oroville Spillway,0,Butte,NA,NA,NA
2018,Summer,Jul,Ranch Fire (Mendocino Complex),410203,Colusa,NA,NA,NA
2018,Summer,Jul,Carr Fire,229651,Shasta,5,48,11
2018,Fall,Nov,Camp Fire,153336,Butte,11,3,73
